country_alpha2_code,code,legacy_id
CA,AB,1
CA,BC,6
CA,MB,23
CA,NB,31
CA,NF,35
CA,NS,39
CA,NT,40
CA,ON,45
CA,PE,48
CA,QC,49
CA,SK,53
CA,YT,63
US,AK,2
US,AL,3
US,AR,4
US,AZ,5
US,CA,7
US,CO,8
US,CT,9
US,DC,10
US,DE,11
US,FL,12
US,GA,13
US,HI,14
US,IA,15
US,ID,16
US,IL,17
US,IN,18
US,KS,19
US,KY,20
US,LA,21
US,MA,22
US,MD,24
US,ME,25
US,MI,26
US,MN,27
US,MO,28
US,MS,29
US,MT,30
US,NC,32
US,ND,33
US,NE,34
US,NH,36
US,NJ,37
US,NM,38
US,NV,41
US,NY,42
US,OH,43
US,OK,44
US,OR,46
US,PA,47
US,RI,50
US,SC,51
US,SD,52
US,TN,54
US,TX,55
US,UT,56
US,VA,57
US,VT,58
US,WA,59
US,WI,60
US,WV,61
US,WY,62
